time,fce_hz,whistler_band_low_hz,whistler_band_high_hz,whistler_band_power,wave_total_power_10_4000hz,whistler_peak_freq_hz,burst_file,whistler_ratio,whistler_background_power,background_excess,fce_valid,whistler_power_z,whistler_ratio_z,background_excess_z,whistler_score,Vx,Bz,bbf_operational_flag,bbf_direction
2017-07-29 15:59:04.471211044,261.4903603822581,13.074518019112904,130.74518019112904,26000.028684507095,26136.875610373634,103.99856232387444,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9947642201804632,125.64899993456113,206.9258704649308,True,16.66216557518948,2.585415296464033,18.597237896636425,37.84481876828994,740.747001879143,8.425183057039977,False,earthward_candidate
2017-07-29 15:59:42.502719092,228.73217881673503,11.436608940836752,114.36608940836751,14215.547272930107,14413.89461235532,67.99905998099482,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9862391570939341,354.7913324436387,40.067346558384024,True,14.752646777645904,2.5285043335453263,12.653265592030843,29.93441670322207,810.605126583215,9.509854143857956,False,earthward_candidate
2017-07-29 16:01:45.255500336,225.29563283017177,11.26478164150859,112.64781641508588,11435.189315863176,11549.204896464882,52.00013312034079,mms1_scm_brst_l2_schb_20170729160133_v2.2.0.cdf,0.9901278415593262,341.5989511535258,33.47548134222411,True,14.064313080153891,2.554464115328312,12.002503984684095,28.6212811801663,916.9711544152462,3.900188569165766,True,earthward_candidate
2017-07-29 15:59:04.346209391,262.7871960723015,13.139359803615077,131.39359803615076,5710.058490799253,5811.584631413426,115.99839643816763,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9825303859354655,123.9394966483871,46.0713383966576,True,11.867922074048153,2.5037456032308145,13.158779908982929,27.530447586261896,740.747001879143,8.425183057039977,False,earthward_candidate
2017-07-29 15:59:34.846429674,264.61678322908864,13.230839161454433,132.30839161454432,6887.149560639505,6949.31900768049,75.99894939052362,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.991053879240214,180.89441918753664,38.072758637730374,True,12.460701505685908,2.5606460867205953,12.468398183829677,27.48974577623618,702.436338482481,9.070694236457348,False,earthward_candidate
2017-07-29 15:59:42.627720745,229.37555368034592,11.468777684017297,114.68777684017296,6366.056129259603,6459.703005714376,87.99878350481683,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9855029130020481,212.42177543515209,29.968943232013547,True,12.211868951113976,2.523589371651537,11.601900510987763,26.337358833753278,810.605126583215,9.509854143857956,False,earthward_candidate
2017-07-29 16:02:34.505747090,150.00134545477542,7.500067272738772,75.00067272738771,450.6196902756411,601.200694335681,32.000081920209716,mms1_scm_brst_l2_schb_20170729160133_v2.2.0.cdf,0.749532883979068,1.3802265355636503,326.48241333196745,True,3.836674557876178,0.948318733141744,20.248197273140548,25.03319056415847,639.4368757768111,-1.2628857540233867,False,earthward_candidate
2017-07-29 15:59:41.502705863,242.62631477657453,12.131315738828727,121.31315738828727,5753.776946314894,5975.294639784032,99.99861761911004,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9629277371538713,296.5093229778839,19.405045644193986,True,11.892044754544504,2.372883742550796,10.028370547593592,24.293299044688894,745.351339003619,8.49725496917963,False,earthward_candidate
2017-07-29 15:59:34.596426366,260.42545319391,13.021272659695502,130.212726596955,3804.956003928575,3877.4114888353342,75.99894939052362,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9813134393614429,175.86535122416728,21.635620532657263,True,10.584101820998876,2.495621604540683,10.422299040117265,23.50202246565682,702.436338482481,9.070694236457348,False,earthward_candidate
2017-07-29 15:58:57.439928437,271.19633737158216,13.559816868579109,135.59816868579108,4328.383013087486,27030.83078384001,131.99817525722523,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.16012763528064208,198.05659044488067,21.85427409087949,True,10.991741537446657,-2.9863876628462522,10.458703841182317,21.450445378628974,606.8153489056756,10.262648686766624,False,earthward_candidate
