time,burst_file,fce_hz,whistler_band_low_hz,whistler_band_high_hz,whistler_peak_freq_hz,whistler_band_power,wave_total_power_10_4000hz,whistler_ratio,background_excess,whistler_power_z,whistler_ratio_z,background_excess_z,whistler_activity_score,whistler_score,fce_valid,whistler_feature_valid,strict_whistler_segment_label,strict_whistler_event_label,strict_freq_fraction_of_fce,ellipticity,planarity,strict_psd_nt2_per_hz,Vx,Bz,bbf_event_label,bbf_direction
2017-07-29 15:13:03.248102158,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.32359540961704,25.166179770480852,251.66179770480852,35.99950234287961,113.64674645305101,180.69884849586478,0.628929002033191,0.7748515325406138,-0.5200417794702387,0.14320057933950966,-0.7080519063925289,-1.0848931065232579,0.14320057933950966,True,1,1,1,0.1271530201641875,0.7059364269119548,0.9932915942034838,4.989159387687605e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:03.373103812,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.05183648316245,25.202591824158123,252.02591824158122,35.99950234287961,198.53145461277992,243.86569628079351,0.8141016044511052,1.328114092514834,1.2442811507110463,1.3793616496802719,0.31927326254064536,2.942916062931963,2.942916062931963,True,1,0,0,0.1031625666216062,0.1673735414370112,0.9738252515982936,9.823758013955389e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:03.498105466,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0468348860545,25.20234174430273,252.02341744302726,35.99950234287961,179.1441777467797,232.77574583241065,0.7695998442885731,1.2960327546086972,0.9192923884383734,1.0822802091418435,0.23074686647860593,2.232319464058823,2.232319464058823,True,1,0,0,0.1031635902915494,0.3370840756376019,0.9795210002856964,9.26446197500284e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:03.623107120,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.1652435951725,25.158262179758626,251.58262179758626,35.99950234287961,166.00853360092418,285.60108855797415,0.5812601570922449,1.2171616353815875,0.6784469185941638,-0.17502344308426915,0.003435387202833572,0.5068588627127283,0.6818823057969974,True,1,0,0,0.1033443422888204,-0.450441372774337,0.955596810039003,8.083300852738418e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:03.748108774,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.46939624556626,25.223469812278314,252.23469812278313,35.99950234287961,171.11806331712506,219.92263785406325,0.7780829885765373,1.396192763963739,0.7743228864585278,1.1389113337571257,0.5002539706044961,2.4134881908201495,2.4134881908201495,True,1,0,0,0.1347932312387373,0.3008848935550416,0.989529258618404,6.211379798814372e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:03.873110428,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0948193924667,25.204740969623337,252.04740969623336,43.999391752408414,197.19373204977907,264.58746658125386,0.7452875020790963,1.6804948618765112,1.2228984476240756,0.9199777379569909,1.1712565263624528,3.314132711943519,3.314132711943519,True,1,0,0,0.1031537702065785,-0.3143137093078773,0.991779869545696,9.959717883740455e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:03.998112082,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.97839373318504,25.248919686659253,252.48919686659252,35.99950234287961,138.2250387652182,193.90646890474903,0.7128438754310835,1.1657218931121838,0.09917825604603478,0.7033930611783507,-0.1528974654701653,0.6496738517542202,0.8025713172243855,True,1,0,0,0.1108943007496076,0.3473925197263907,0.979545920456832,4.797782807110064e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.123113736,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.59600423020413,25.22980021151021,252.29800211510207,39.99944704764401,171.69888259708955,230.9384888765214,0.7434831821771113,1.448023804184244,0.7850397512052791,0.9079325974116248,0.6322200012131505,2.325192349830054,2.325192349830054,True,1,0,0,0.1664675068685857,-0.3149991628493814,0.9862891505547012,6.023880041976261e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.248115390,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0251487080943,25.201257435404717,252.01257435404716,31.99955763811521,152.29840864224684,202.4861342175617,0.7521424083221889,1.2844097627056485,0.4058300795782551,0.9657391957963237,0.19813215865173794,1.5697014340263167,1.5697014340263167,True,1,0,0,0.1428480401628875,0.6870646181951691,0.9847632573206164,4.97582740205955e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.373117044,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.4643677895796,25.173218389478983,251.7321838947898,35.99950234287961,186.56899878410746,3504.2818531912335,0.05324029475945414,1.405880099002874,1.0477304238685783,-3.699937980437763,0.5252870014987667,-2.1269205550704173,1.573017425367345,True,1,0,0,0.1430071506388131,-0.3924612604083791,0.9961423602831684,5.492417221652037e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.498118698,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.9964818016355,25.249824090081777,252.49824090081776,63.99911527623042,135.93109463292154,435.24396311921305,0.31231012064764724,1.0243010469345966,0.04625048589905601,-1.970459488040869,-0.6211243328337399,-2.545333334975553,0.04625048589905601,True,1,0,0,0.1188110664799322,-0.2477900036167359,0.9790189944719774,9.23380012282632e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.623120352,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.44617701154897,25.17230885057745,251.72308850577448,43.999391752408414,111.61961769977123,163.77580169956835,0.6815391317975482,0.8411032926429821,-0.5769644542411018,0.49441125236066347,-0.7080519063925289,-0.7906051082729673,0.49441125236066347,True,1,0,0,0.1032866740007926,0.0497512444254837,0.970805096648512,4.561067566400195e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.748122006,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.2520216740524,25.212601083702623,252.1260108370262,31.99955763811521,97.8935753573879,145.15297302214142,0.6744166055934339,0.737671479785597,-0.9919615440798382,0.44686323769196457,-0.7080519063925289,-1.2531502127804024,0.44686323769196457,True,1,0,0,0.1031216116681223,0.5753499444837737,0.998377768022322,3.8719391527570004e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.873123659,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.828761643699,25.191438082184952,251.9143808218495,47.99933645717282,119.80659724794208,171.47206585815985,0.698694546241981,0.9027958122616133,-0.3531021278536065,0.6089360535723886,-0.7080519063925289,-0.45221798067374686,0.6089360535723886,True,1,0,0,0.103208242801173,0.4374083667853018,0.9847385826336478,6.742923832013819e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:04.998125313,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.48330137809177,25.17416506890459,251.74165068904588,39.99944704764401,206.95526780708755,256.48791205537873,0.8068811748227865,1.5594996719175134,1.3757077198330727,1.3311600588341355,0.9007282612206032,3.6075960398878113,3.6075960398878113,True,1,0,0,0.1191681440223367,-0.2232717669182383,0.9944171398669732,7.465180137735955e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:05.123126966,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,502.9398584848963,25.146992924244817,251.46992924244816,27.999612933350807,,,,,,,,,,True,0,0,0,0.1191681440223367,-0.2232717669182383,0.9944171398669732,7.465180137735955e-07,-0.5541226443122415,2.7359303425997497,0,none
2017-07-29 15:13:09.966879633,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.6682930237672,25.23341465118836,252.3341465118836,27.999612933350807,,,,,,,,,,True,0,0,0,0.1111052612424184,0.1966106752232248,0.9872972481994788,1.3166519805443789e-06,-3.872759371092825,2.7010208435356615,0,none
2017-07-29 15:13:10.091881287,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0195688349804,25.200978441749022,252.0097844174902,39.99944704764401,215.43503702167806,303.8175313032729,0.7090935012786646,1.6233984914460744,1.5027116142249033,0.678356600784661,1.0461118066267738,3.2271800216363378,3.2271800216363378,True,1,0,0,0.1111052612424184,0.1966106752232248,0.9872972481994788,1.3166519805443789e-06,-3.872759371092825,2.7010208435356615,0,none
2017-07-29 15:13:10.216882941,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.2757357939784,25.213786789698922,252.1378678969892,35.99950234287961,179.09955469788434,261.64573637427276,0.6845116499115823,1.349594527123982,0.9185044918260312,0.5142549610166488,0.37735985132177935,1.8101193041644594,1.8101193041644594,True,1,0,0,0.103116762261156,0.2512119705798687,0.9717441380663058,9.849636390307393e-07,-3.872759371092825,2.7010208435356615,0,none
2017-07-29 15:13:10.341884595,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.53735009167235,25.22686750458362,252.26867504583618,47.99933645717282,196.77148211394115,452.95031495108503,0.4344217800912466,1.5010869094614518,1.2161189037845368,-1.1552758287530356,0.7625172564277638,0.823360331459265,1.9786361602123006,True,1,0,0,0.1030632938324371,-0.6273735959599132,0.9718274353235162,8.657732488534542e-07,-3.872759371092825,2.7010208435356615,0,none
2017-07-29 15:13:10.466886249,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.65206191739605,25.182603095869805,251.82603095869803,239.99668228586407,234.51103830523954,462.0651876681542,0.5075280383893811,1.6380722486371146,1.771045719591325,-0.6672386713852706,1.0786892937065435,2.1824963419125982,2.8497350132978685,True,1,0,0,0.4765128556650799,-0.1338620264272682,0.9990798897814794,1.4733284076485498e-06,-3.872759371092825,2.7010208435356615,0,none
2017-07-29 15:13:10.591887903,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.41332250798166,25.220666125399084,252.20666125399083,39.99944704764401,182.93639018835958,284.59968970339,0.6427849249555261,1.2722172028669188,0.9855433083317222,0.23569888787208865,0.1636004846749862,1.384842680878797,1.384842680878797,True,1,0,0,0.1030886355328459,-0.4322737360286069,0.9769378909638048,7.223849774368307e-07,-3.872759371092825,2.7010208435356615,0,none
