background_excess_floor,effective_background_threshold,whistler_event_count,overlap_enrichment_mc,permutation_p_value,median_phase,mean_lag_to_vx_peak_s,coincident_count,front_coincident_count
2.0,2.0,48,2.719356611797379,0.0004997501249375312,0.044791730136138616,-24.3217405,2,0
2.5,2.5,39,2.8385906397473653,0.0004997501249375312,0.11946326684068406,-13.438858499999998,1,0
3.0,3.0,32,2.912878453526348,0.0004997501249375312,0.11971079159315931,-12.759179749999998,1,0
3.5,3.5,31,3.0106742085576133,0.0004997501249375312,0.11983455396939693,-13.157608499999998,1,0
4.0,4.0,26,3.0109145652992098,0.0004997501249375312,0.13812057278127812,-8.540388749999998,1,0
