baseline_event_id,start_time,end_time,duration_s,peak_time,peak_freq_hz,mean_freq_fraction_of_fce,mean_ellipticity,mean_planarity,peak_psd_nt2_per_hz,num_segments
13,2017-07-29 15:47:50.181786230,2017-07-29 15:47:50.806786230,0.75,2017-07-29 15:47:50.681786230,48.00012288031458,0.4130571214136407,0.7889678479181104,0.9947874422236791,1.7454306726289827e-06,3
14,2017-07-29 15:47:52.650502195,2017-07-29 15:47:53.150502195,0.625,2017-07-29 15:47:53.150502195,40.00010240026214,0.25885617925723253,0.7456876466403716,0.9838330792363308,1.8158936472984563e-06,2
15,2017-07-29 15:48:57.150873914,2017-07-29 15:48:57.525873914,0.5,2017-07-29 15:48:57.525873914,40.00010240026214,0.14014743903995275,0.7688133244023442,0.9898542391161076,1.7616619214543695e-06,3
16,2017-07-29 15:49:00.432102879,2017-07-29 15:49:01.182102879,0.875,2017-07-29 15:49:00.432102879,32.000081920209716,0.14851196104991918,0.7972339419875649,0.9741136775652536,1.0181015878931342e-06,2
17,2017-07-29 15:52:43.779425230,2017-07-29 15:52:44.779425230,1.125,2017-07-29 15:52:44.779425230,36.00009216023593,0.3804241034166442,0.7402884505365782,0.9794487210680728,1.780006505578735e-06,2
18,2017-07-29 15:53:23.529587019,2017-07-29 15:53:24.279587019,0.875,2017-07-29 15:53:23.529587019,36.00009216023593,0.25003952562880116,0.8366323570021619,0.986653363882952,2.4601075722825527e-06,2
19,2017-07-29 15:54:00.967271843,2017-07-29 15:54:01.717271843,0.875,2017-07-29 15:54:01.092271843,40.00010240026214,0.27407424103762,0.8787060290475326,0.9746490215658294,2.1148637050330756e-06,3
20,2017-07-29 15:54:19.717400773,2017-07-29 15:54:21.342400773,1.75,2017-07-29 15:54:20.467400773,44.00011264028836,0.41490410676164285,0.8707795880200668,0.9777679243528208,1.7819454933062274e-06,4
21,2017-07-29 15:54:27.186182738,2017-07-29 15:54:27.311182738,0.25,2017-07-29 15:54:27.186182738,44.00011264028836,0.4566113220074782,0.8159082464663931,0.9782552383268075,1.3809240166298936e-06,2
22,2017-07-29 15:54:53.780045597,2017-07-29 15:54:54.530045597,0.875,2017-07-29 15:54:53.780045597,52.00013312034079,0.17280732139770566,0.785117340032881,0.9910382806225265,1.8792070485536827e-06,2
