time,burst_file,fce_hz,peak_freq_hz,freq_fraction_of_fce,ellipticity,planarity,psd_nt2_per_hz,baseline_pass
2017-07-29 15:13:03.248102158,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.32359540961704,63.99911527623042,0.12715302016418756,0.7059364269119548,0.9932915942034838,4.989159387687605e-07,True
2017-07-29 15:13:03.373103812,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.05183648316245,51.99928116193722,0.10316256662160624,0.16737354143701128,0.9738252515982935,9.823758013955389e-07,False
2017-07-29 15:13:03.498105466,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0468348860545,51.99928116193722,0.10316359029154948,0.3370840756376019,0.9795210002856964,9.264461975002841e-07,False
2017-07-29 15:13:03.623107120,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.1652435951725,51.99928116193722,0.10334434228882043,-0.45044137277433705,0.955596810039003,8.083300852738418e-07,False
2017-07-29 15:13:03.748108774,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.46939624556626,67.99905998099482,0.13479323123873732,0.30088489355504167,0.9895292586184039,6.211379798814372e-07,False
2017-07-29 15:13:03.873110428,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0948193924667,51.99928116193722,0.10315377020657854,-0.31431370930787733,0.991779869545696,9.959717883740457e-07,False
2017-07-29 15:13:03.998112082,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.97839373318504,55.999225866701615,0.11089430074960765,0.3473925197263907,0.9795459204568321,4.797782807110064e-07,False
2017-07-29 15:13:04.123113736,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.59600423020413,83.99883880005243,0.16646750686858575,-0.3149991628493814,0.9862891505547013,6.023880041976261e-07,False
2017-07-29 15:13:04.248115390,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0251487080943,71.99900468575922,0.14284804016288752,0.6870646181951691,0.9847632573206163,4.97582740205955e-07,False
2017-07-29 15:13:04.373117044,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.4643677895796,71.99900468575922,0.1430071506388131,-0.39246126040837914,0.9961423602831683,5.492417221652037e-07,False
2017-07-29 15:13:04.498118698,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.9964818016355,59.99917057146602,0.11881106647993225,-0.24779000361673595,0.9790189944719774,9.23380012282632e-07,False
2017-07-29 15:13:04.623120352,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.44617701154897,51.99928116193722,0.10328667400079267,0.0497512444254837,0.970805096648512,4.561067566400195e-07,False
2017-07-29 15:13:04.748122006,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.2520216740524,51.99928116193722,0.1031216116681223,0.5753499444837737,0.9983777680223221,3.8719391527570004e-07,False
2017-07-29 15:13:04.873123659,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.828761643699,51.99928116193722,0.10320824280117302,0.4374083667853018,0.9847385826336478,6.742923832013819e-07,False
2017-07-29 15:13:04.998125313,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.48330137809177,59.99917057146602,0.11916814402233675,-0.2232717669182383,0.9944171398669733,7.465180137735955e-07,False
2017-07-29 15:13:10.091881287,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.0195688349804,55.999225866701615,0.11110526124241846,0.19661067522322484,0.9872972481994787,1.3166519805443789e-06,False
2017-07-29 15:13:10.216882941,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.2757357939784,51.99928116193722,0.10311676226115607,0.2512119705798687,0.9717441380663058,9.849636390307393e-07,False
2017-07-29 15:13:10.341884595,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.53735009167235,51.99928116193722,0.1030632938324371,-0.6273735959599132,0.9718274353235162,8.657732488534542e-07,False
2017-07-29 15:13:10.466886249,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.65206191739605,239.99668228586407,0.47651285566507995,-0.13386202642726827,0.9990798897814794,1.4733284076485498e-06,False
2017-07-29 15:13:10.591887903,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.41332250798166,51.99928116193722,0.10308863553284599,-0.4322737360286069,0.9769378909638047,7.223849774368307e-07,False
2017-07-29 15:13:10.716889557,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.9630429433944,51.99928116193722,0.10318074289383523,-0.1630861396594317,0.9923070754615968,7.736731409665274e-07,False
2017-07-29 15:13:10.841891211,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.99729889334014,59.99917057146602,0.11881087424219741,-0.2247139894473875,0.9942166932200001,1.2381733201945053e-06,False
2017-07-29 15:13:10.966892865,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.4359998872376,51.99928116193722,0.10328876197487726,-0.2883992463053454,0.9923668128390547,7.770160960639103e-07,False
2017-07-29 15:13:11.091894519,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,503.8277635099972,51.99928116193722,0.10320844726712926,0.2406052218784957,0.9947160316358904,6.307675152394914e-07,False
2017-07-29 15:13:11.216896173,mms1_scm_brst_l2_schb_20170729151303_v2.2.0.cdf,504.3520001247002,59.99917057146602,0.11896288813493615,0.3798957571128661,0.9834080950145899,4.1560545639916585e-07,False
