date,direction,start_time,end_time,duration_s,num_bins,peak_time,peak_vx,peak_abs_vx,mean_vx,mean_vy,mean_vz
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:32:30,2017-01-03 05:32:40,15.0,3,2017-01-03 05:32:35,-353.8044738769531,353.8044738769531,-350.3754069010417,-16.019950707753498,22.26956335703532
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:32:50,2017-01-03 05:33:45,60.0,12,2017-01-03 05:33:00,-365.59979248046875,365.59979248046875,-335.57981872558594,-10.490152935187021,22.448621431986492
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:34:00,2017-01-03 05:34:05,10.0,2,2017-01-03 05:34:05,-326.4600830078125,326.4600830078125,-317.51275634765625,-31.740328669548035,20.94077777862549
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:34:15,2017-01-03 05:35:25,75.0,15,2017-01-03 05:35:05,-360.6275939941406,360.6275939941406,-326.05609436035155,-4.34453251361847,36.93543942769369
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:35:40,2017-01-03 05:35:50,15.0,3,2017-01-03 05:35:45,-353.87158203125,353.87158203125,-341.0094299316406,22.95933206876119,35.01903200149536
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:36:00,2017-01-03 05:36:35,40.0,8,2017-01-03 05:36:10,-357.55523681640625,357.55523681640625,-330.85283279418945,7.861637786030769,39.18070983886719
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:36:50,2017-01-03 05:36:55,10.0,2,2017-01-03 05:36:50,-353.1159973144531,353.1159973144531,-340.5747985839844,15.250672340393066,23.23489284515381
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:37:10,2017-01-03 05:37:15,10.0,2,2017-01-03 05:37:15,-335.8606262207031,335.8606262207031,-328.18946838378906,13.607085943222046,10.00058364868164
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:37:45,2017-01-03 05:46:25,525.0,105,2017-01-03 05:45:10,-372.091064453125,372.091064453125,-350.8348161969866,-11.639740388308253,29.112894403366816
2017-01-03,tailward_fastflow_candidate,2017-01-03 05:46:40,2017-01-03 06:14:45,1690.0,338,2017-01-03 06:09:45,-383.46820068359375,383.46820068359375,-373.057833699785,1.5461863831054838,18.707464896715603
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:15:00,2017-01-03 06:27:55,780.0,156,2017-01-03 06:22:35,-372.61407470703125,372.61407470703125,-349.4446631211501,-30.50534374782672,20.601651427073357
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:28:25,2017-01-03 06:29:20,60.0,12,2017-01-03 06:29:00,-340.1636962890625,340.1636962890625,-326.68535741170246,-57.610565980275474,10.834699392318726
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:29:35,2017-01-03 06:30:40,70.0,14,2017-01-03 06:29:55,-341.01898193359375,341.01898193359375,-320.13343920026506,-60.28058556147984,9.28267765045166
