model,cv,samples,positive_samples,accuracy,balanced_accuracy,f1,roc_auc
majority,leave_one_out,11,6,0.0,0.0,0.0,0.0
logistic_regression,leave_one_out,11,6,0.8181818181818182,0.8166666666666667,0.8333333333333334,0.8
random_forest,leave_one_out,11,6,0.8181818181818182,0.8166666666666667,0.8333333333333334,0.9
xgboost,leave_one_out,11,6,0.7272727272727273,0.7166666666666667,0.7692307692307693,0.8333333333333334
