model,cv,samples,positive_samples,accuracy,balanced_accuracy,f1,roc_auc
majority,leave_one_out,14,8,0.5714285714285714,0.5,0.7272727272727273,0.5
logistic_regression,leave_one_out,14,8,0.7857142857142857,0.7708333333333333,0.8235294117647058,0.875
random_forest,leave_one_out,14,8,0.7857142857142857,0.7708333333333333,0.8235294117647058,0.9479166666666666
xgboost,leave_one_out,14,8,0.7857142857142857,0.7708333333333333,0.8235294117647058,0.5833333333333334
