path,anchor_time,target_bbf_within_5min,inside_bbf_at_anchor,relative_time_s__mean,relative_time_s__std,relative_time_s__min,relative_time_s__max,relative_time_s__last,relative_time_s__delta,Bz__mean,Bz__std,Bz__min,Bz__max,Bz__last,Bz__delta,abs_Bz__mean,abs_Bz__std,abs_Bz__min,abs_Bz__max,abs_Bz__last,abs_Bz__delta,dBz_dt__mean,dBz_dt__std,dBz_dt__min,dBz_dt__max,dBz_dt__last,dBz_dt__delta,Bz_delta_60s__mean,Bz_delta_60s__std,Bz_delta_60s__min,Bz_delta_60s__max,Bz_delta_60s__last,Bz_delta_60s__delta,Bz_rolling_std_60s__mean,Bz_rolling_std_60s__std,Bz_rolling_std_60s__min,Bz_rolling_std_60s__max,Bz_rolling_std_60s__last,Bz_rolling_std_60s__delta,Bz_sign_change_rate_60s__mean,Bz_sign_change_rate_60s__std,Bz_sign_change_rate_60s__min,Bz_sign_change_rate_60s__max,Bz_sign_change_rate_60s__last,Bz_sign_change_rate_60s__delta,fce_hz__mean,fce_hz__std,fce_hz__min,fce_hz__max,fce_hz__last,fce_hz__delta,whistler_band_power__mean,whistler_band_power__std,whistler_band_power__min,whistler_band_power__max,whistler_band_power__last,whistler_band_power__delta,wave_total_power_10_4000hz__mean,wave_total_power_10_4000hz__std,wave_total_power_10_4000hz__min,wave_total_power_10_4000hz__max,wave_total_power_10_4000hz__last,wave_total_power_10_4000hz__delta,whistler_ratio__mean,whistler_ratio__std,whistler_ratio__min,whistler_ratio__max,whistler_ratio__last,whistler_ratio__delta,whistler_activity_score__mean,whistler_activity_score__std,whistler_activity_score__min,whistler_activity_score__max,whistler_activity_score__last,whistler_activity_score__delta,wave_power_delta_60s__mean,wave_power_delta_60s__std,wave_power_delta_60s__min,wave_power_delta_60s__max,wave_power_delta_60s__last,wave_power_delta_60s__delta,wave_power_increase_rate_60s__mean,wave_power_increase_rate_60s__std,wave_power_increase_rate_60s__min,wave_power_increase_rate_60s__max,wave_power_increase_rate_60s__last,wave_power_increase_rate_60s__delta,wave_power_rolling_mean_60s__mean,wave_power_rolling_mean_60s__std,wave_power_rolling_mean_60s__min,wave_power_rolling_mean_60s__max,wave_power_rolling_mean_60s__last,wave_power_rolling_mean_60s__delta,wave_power_rolling_max_60s__mean,wave_power_rolling_max_60s__std,wave_power_rolling_max_60s__min,wave_power_rolling_max_60s__max,wave_power_rolling_max_60s__last,wave_power_rolling_max_60s__delta,wave_power_rolling_var_60s__mean,wave_power_rolling_var_60s__std,wave_power_rolling_var_60s__min,wave_power_rolling_var_60s__max,wave_power_rolling_var_60s__last,wave_power_rolling_var_60s__delta,whistler_feature_observed__mean,whistler_feature_observed__std,whistler_feature_observed__min,whistler_feature_observed__max,whistler_feature_observed__last,whistler_feature_observed__delta
sequences/early_bbf_000001.npz,2017-07-29 15:28:03,0,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.1091657255783463,1.088705947826326,0.51983642578125,7.357275009155273,7.357275009155273,4.621344566345215,3.1091657255783463,1.088705947826326,0.51983642578125,7.357275009155273,7.357275009155273,4.621344566345215,0.005129128430952442,0.2024439261449171,-1.911833643913269,3.0972952842712402,0.0,0.0,0.09830997302946319,1.4241495360330754,-3.540471315383911,6.375422954559326,6.375422954559326,6.375422954559326,0.3675652385578717,0.5371493048932451,0.0,2.399240016937256,1.7949296236038208,1.7949296236038208,0.0,0.0,0.0,0.0,0.0,0.0,400.9290179084329,108.7241047520636,108.11399841308594,525.2659912109375,361.2947998046875,-142.72378540039062,178.1194059179308,40.72469713570445,70.69212341308594,779.3722534179688,156.4959716796875,-9.770843505859375,268.34767901116817,100.02905524058657,159.5872039794922,2035.996337890625,256.37298583984375,24.75042724609375,0.7054954525434746,0.10984344276006057,0.2554166615009308,0.8089960813522339,0.6580288410186768,-0.06055760383605957,1.8058918512216484,1.7761237313751839,-3.8943917751312256,9.83671760559082,0.677895188331604,-0.8898899555206299,-0.4758736209470477,43.83463433796334,-631.7918701171875,581.2984619140625,43.84147644042969,43.84147644042969,-0.00793122732805111,0.7305772347121926,-10.529864311218262,9.688307762145996,0.7306912541389465,0.7306912541389465,178.2473296357048,29.69646800494737,106.03794860839844,202.8812255859375,145.0406036376953,-21.226211547851562,236.72218879928334,145.90982621255907,141.0235595703125,779.3722534179688,173.87010192871094,7.6032867431640625,786.1254873371018,2103.779413619534,0.0,8908.748046875,331.2998352050781,331.2998352050781,0.8565799921387176,0.26574335583366376,0.0,1.0,0.8333333134651184,-0.1666666865348816
sequences/early_bbf_000002.npz,2017-07-29 15:31:03,0,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.1728577503353588,1.0559669323253114,0.51983642578125,7.466274738311768,4.205211639404297,1.117403507232666,3.1728577503353588,1.0559669323253114,0.51983642578125,7.466274738311768,4.205211639404297,1.117403507232666,0.0012401816462033273,0.18723570841838777,-2.414508104324341,2.033757448196411,0.0,0.0,0.0002337217446701905,1.3370409073099376,-3.127971887588501,6.926809787750244,2.6455161571502686,3.530382752418518,0.35343363530495586,0.4640816784097788,0.0,1.8091518878936768,0.6614764332771301,0.46684713661670685,0.0,0.0,0.0,0.0,0.0,0.0,389.1540952422113,104.28997575379148,108.11399841308594,461.31573486328125,348.6951904296875,-102.08673095703125,172.7994671651182,33.956225545498,70.69212341308594,210.3106689453125,155.91943359375,-46.9617919921875,274.1505133727282,122.72713539383302,163.26144409179688,2035.996337890625,230.8048095703125,-26.218719482421875,0.6964653151876786,0.11401705784148738,0.2554166615009308,0.8089960813522339,0.6791799068450928,-0.10323798656463623,1.6312980825530075,1.751040869858182,-3.8943917751312256,3.188930034637451,1.0212503671646118,-2.124409317970276,-2.8971297711580495,26.21695937183534,-113.72808074951172,84.51787567138672,3.4851326942443848,-10.93286657333374,-0.04828549721784741,0.43694932244997386,-1.89546799659729,1.4086313247680664,0.058085545897483826,-0.18221443891525269,174.49533496818586,31.23733636295749,106.03794860839844,202.8812255859375,149.61489868164062,-43.74554443359375,192.5232858096852,17.232195180095292,141.0235595703125,210.3106689453125,187.16717529296875,-15.71405029296875,184.70885211804864,286.5644333887952,0.0,1340.81591796875,128.22645568847656,-292.09266662597656,0.8541897908431973,0.2591854695868396,0.0,1.0,0.8333333134651184,-0.1666666865348816
sequences/early_bbf_000003.npz,2017-07-29 15:34:03,0,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.279533115859566,1.1258885660763882,0.51983642578125,7.466274738311768,3.0525829792022705,-0.03522515296936035,3.279533115859566,1.1258885660763882,0.51983642578125,7.466274738311768,3.0525829792022705,-0.03522515296936035,-3.909558671775598e-05,0.20117957128154448,-2.414508104324341,2.033757448196411,0.0,0.0,-0.0046019993937438915,1.4365434991792563,-3.127971887588501,6.926809787750244,0.5902354717254639,0.5902354717254639,0.46830763905148926,0.44194411492966723,0.0,1.8091518878936768,0.13222713768482208,0.13222713768482208,0.0,0.0,0.0,0.0,0.0,0.0,352.62867496333826,111.99348722918752,108.11399841308594,461.31573486328125,201.93019104003906,-248.8517303466797,160.9991601738628,32.231931276485895,70.69212341308594,229.29214477539062,144.9298858642578,-57.95133972167969,270.1629308093004,125.40658259097714,163.26144409179688,2035.996337890625,232.14794921875,-24.875579833984375,0.6661008683081869,0.11071856568611364,0.2554166615009308,0.8089960813522339,0.6280179023742676,-0.15439999103546143,1.0442650780830114,1.668261732880441,-3.8943917751312256,4.3719162940979,0.11042989790439606,-3.0352297872304916,-3.8771663599634145,27.02437566825094,-113.72808074951172,84.51787567138672,-3.8691246509552,-3.8691246509552,-0.06461944034014033,0.45040626050216176,-1.89546799659729,1.4086313247680664,-0.06448540836572647,-0.06448540836572647,162.89769524712938,29.388897812659717,106.03794860839844,202.8812255859375,144.6591033935547,-58.22212219238281,189.3444903645743,21.482865870797013,141.0235595703125,229.29214477539062,148.79901123046875,-54.08221435546875,224.24917173967773,275.8410271463222,0.0,1340.81591796875,5.329395294189453,5.329395294189453,0.8094273576064327,0.2789786306033183,0.0,1.0,1.0,0.0
sequences/early_bbf_000004.npz,2017-07-29 15:37:03,0,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.2724959043895496,1.127174275006033,0.51983642578125,7.466274738311768,3.0525829792022705,-0.03522515296936035,3.2724959043895496,1.127174275006033,0.51983642578125,7.466274738311768,3.0525829792022705,-0.03522515296936035,-3.909558671775574e-05,0.20117957128154443,-2.414508104324341,2.033757448196411,0.0,0.0,-0.002345737475037707,1.43697399033823,-3.127971887588501,6.926809787750244,0.0,0.0,0.4685611524159186,0.4417006295776966,0.0,1.8091518878936768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.9135679018484,112.61989797322079,108.11399841308594,461.31573486328125,201.93019104003906,-248.8517303466797,149.42175601192903,24.617392054043574,70.69212341308594,229.29214477539062,144.9298858642578,-57.95133972167969,265.19333661383183,126.3183700703684,163.26144409179688,2035.996337890625,232.14794921875,-24.875579833984375,0.6352551431290714,0.09430777135015751,0.2554166615009308,0.8089960813522339,0.6280179023742676,-0.15439999103546143,0.43789286753751927,1.3066883182515479,-3.8943917751312256,4.3719162940979,0.11042989790439606,-3.0352297872304916,-3.8591345319489263,27.0335022934063,-113.72808074951172,84.51787567138672,0.0,0.0,-0.06431890986565207,0.4505583709243765,-1.89546799659729,1.4086313247680664,0.0,0.0,151.3191638485044,21.78992689003691,106.03794860839844,202.8812255859375,144.9298858642578,-57.95133972167969,177.77138045942877,26.16672285617749,141.0235595703125,229.29214477539062,144.9298858642578,-57.95133972167969,224.26414932118217,275.8289740101813,0.0,1340.81591796875,0.0,0.0,0.8094273576064327,0.2789786306033183,0.0,1.0,1.0,0.0
sequences/early_bbf_000005.npz,2017-07-29 15:40:03,0,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.2620753258235182,1.1222782786987635,0.51983642578125,7.466274738311768,3.0525829792022705,0.7357285022735596,3.2620753258235182,1.1222782786987635,0.51983642578125,7.466274738311768,3.0525829792022705,0.7357285022735596,0.0008165686118409267,0.1999453524606886,-2.414508104324341,2.033757448196411,0.0,0.0,0.005245919898565813,1.4267105525361463,-3.127971887588501,6.926809787750244,0.0,1.1841827630996704,0.44962939142883157,0.4562279031752402,0.0,1.8091518878936768,0.0,-0.4001404345035553,0.0,0.0,0.0,0.0,0.0,0.0,254.83956043781106,91.39773313106109,108.11399841308594,446.2003479003906,201.93019104003906,-100.89518737792969,142.81199734060138,16.251286322344104,70.69212341308594,229.29214477539062,144.9298858642578,4.51885986328125,254.68950044248794,107.22038157671842,163.26144409179688,1296.2587890625,232.14794921875,-13.8631591796875,0.6194388402355101,0.07449383974132129,0.28221839666366577,0.7900529503822327,0.6280179023742676,0.049055278301239014,0.10906528953781204,0.902739766428057,-3.8943917751312256,4.3719162940979,0.11042989790439606,0.27389463782310486,-0.67213510418441,23.581482206048157,-113.72808074951172,84.51787567138672,0.0,-1.6148737668991089,-0.011202252472282598,0.39302470202857287,-1.89546799659729,1.4086313247680664,0.0,-0.0269145630300045,143.19963204979763,9.818225382811757,106.03794860839844,156.40895080566406,144.9298858642578,-10.120132446289062,166.43865717846597,25.359415294591543,141.0235595703125,229.29214477539062,144.9298858642578,-65.38078308105469,184.265806000596,264.75123150881,0.0,1340.81591796875,0.0,-209.86265563964844,0.8388060897621806,0.26558884140938904,0.0,1.0,1.0,1.0
sequences/early_bbf_000006.npz,2017-07-29 15:42:35,1,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.4471296930683573,0.9094952048195138,1.345476508140564,7.466274738311768,3.0525829792022705,-0.28752732276916504,3.4471296930683573,0.9094952048195138,1.345476508140564,7.466274738311768,3.0525829792022705,-0.28752732276916504,-0.00031912044573422226,0.16159745763794925,-2.414508104324341,2.033757448196411,0.0,0.0,0.03413014937932298,1.2969387618201313,-3.127971887588501,6.926809787750244,0.0,-0.9122560024261475,0.3416870148990977,0.4713043545581946,0.0,1.8091518878936768,0.0,-0.778899073600769,0.0,0.0,0.0,0.0,0.0,0.0,258.0327651926733,85.42433579755973,201.93019104003906,446.2003479003906,201.93019104003906,-9.704757690429688,146.10839801411518,8.55944328137429,103.32246398925781,229.29214477539062,144.9298858642578,-20.136184692382812,248.8506316461256,94.52567808547532,170.9515838623047,1296.2587890625,232.14794921875,-32.34954833984375,0.6353597366121845,0.052088166169192894,0.36090636253356934,0.7900529503822327,0.6280179023742676,0.0038428306579589844,0.24701045523216736,0.5456057073493841,-1.9882230758666992,4.3719162940979,0.11042989790439606,-1.0714956372976303,1.5399228680080896,15.661390178405831,-84.36226654052734,84.51787567138672,0.0,-74.5279769897461,0.02566538076536662,0.2610231678635191,-1.40603768825531,1.4086313247680664,0.0,-1.2421329021453857,145.69534595586882,3.4907244239580475,123.0475082397461,156.40895080566406,144.9298858642578,21.88237762451172,159.90058030140122,22.902481369882235,144.9298858642578,229.29214477539062,144.9298858642578,-20.136184692382812,80.83204713051458,117.31769882028746,0.0,584.0648193359375,0.0,-528.1716918945312,0.8967536077250651,0.21854324399585617,0.0,1.0,1.0,0.3333333134651184
sequences/early_bbf_000007.npz,2017-07-29 15:43:03,1,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.3742350695797394,0.8083240566162595,1.345476508140564,7.466274738311768,3.0525829792022705,-4.304692029953003,3.3742350695797394,0.8083240566162595,1.345476508140564,7.466274738311768,3.0525829792022705,-4.304692029953003,-0.004777682634519121,0.13634024318431304,-2.414508104324341,1.2274022102355957,0.0,0.0,-0.0567537150350911,1.1453088796078088,-3.127971887588501,6.926809787750244,0.0,-6.375422954559326,0.3024791621258865,0.44051823557699105,0.0,1.8091518878936768,0.0,-1.7949296236038208,0.0,0.0,0.0,0.0,0.0,0.0,256.2441181856043,85.62111035113341,201.93019104003906,446.2003479003906,201.93019104003906,-159.36460876464844,145.72568353616967,8.22351153759745,103.32246398925781,229.29214477539062,144.9298858642578,-11.566085815429688,248.0968383382613,93.39424547261983,170.9515838623047,1296.2587890625,232.14794921875,-24.22503662109375,0.6341808844155132,0.05131238648452381,0.36090636253356934,0.7900529503822327,0.6280179023742676,-0.03001093864440918,0.22237236403160368,0.5297042270057895,-1.9882230758666992,4.3719162940979,0.11042989790439606,-0.567465290427208,0.0412850642243977,12.714455636572541,-84.36226654052734,70.73872375488281,0.0,-43.84147644042969,0.0006880842076385028,0.21190759266858514,-1.40603768825531,1.178978681564331,0.0,-0.7306912541389465,145.98913205027182,2.7746499098678656,140.58847045898438,156.40895080566406,144.9298858642578,-0.1107177734375,159.25205011399552,23.01800224979029,144.9298858642578,229.29214477539062,144.9298858642578,-28.940216064453125,67.73587140643848,99.74666343430594,0.0,383.6324462890625,0.0,-331.2998352050781,0.9021180174856154,0.21796913399119103,0.0,1.0,1.0,0.1666666865348816
sequences/early_bbf_000008.npz,2017-07-29 15:44:10,1,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.205001976857836,0.5131991415440497,1.345476508140564,5.137557029724121,3.0525829792022705,-1.226562738418579,3.205001976857836,0.5131991415440497,1.345476508140564,5.137557029724121,3.0525829792022705,-1.226562738418579,-0.0013613347418928777,0.1075332223013357,-1.3676048517227173,1.2274022102355957,0.0,0.0,-0.1368489985981673,0.7915041705989007,-3.08272647857666,3.2446296215057373,0.0,2.6308228969573975,0.20092621527521248,0.31317550553816964,0.0,1.0566781759262085,0.0,-0.8800293803215027,0.0,0.0,0.0,0.0,0.0,0.0,239.41433685336605,71.02855210692644,201.93019104003906,422.4753723144531,201.93019104003906,-218.0697784423828,145.48649200879774,7.691841319059064,103.32246398925781,229.29214477539062,144.9298858642578,-17.840438842773438,241.5102524159354,75.15245336951834,170.9515838623047,1296.2587890625,232.14794921875,-403.65655517578125,0.6334684313534368,0.04274428803103329,0.36090636253356934,0.7900529503822327,0.6280179023742676,0.027575016021728516,0.1989252392975789,0.4707692164208959,-1.9882230758666992,4.3719162940979,0.11042989790439606,-0.4748726338148117,-0.14566787713508098,10.745389659744522,-84.36226654052734,70.73872375488281,0.0,-0.5147038698196411,-0.0024277980180434492,0.1790898274926574,-1.40603768825531,1.178978681564331,0.0,-0.008578398264944553,145.4537168242426,1.9939621905461422,140.58847045898438,153.27981567382812,144.9298858642578,-2.196014404296875,157.18128015516072,22.948169240296476,144.9298858642578,229.29214477539062,144.9298858642578,-20.803466796875,58.672785382567966,98.6189518388462,0.0,383.6324462890625,0.0,-110.12776947021484,0.9177620109257503,0.20511798093030145,0.0,1.0,1.0,1.0
sequences/early_bbf_000009.npz,2017-07-29 15:46:03,1,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,3.1675748332888385,0.42201722334507097,2.4623475074768066,5.137557029724121,3.0525829792022705,-1.1526286602020264,3.1675748332888385,0.42201722334507097,2.4623475074768066,5.137557029724121,3.0525829792022705,-1.1526286602020264,-0.0012792772329210834,0.0735719805483118,-1.2603275775909424,1.0826491117477417,0.0,0.0,-0.006024451167648296,0.5373453882528912,-1.834480881690979,3.2446296215057373,0.0,-2.6455161571502686,0.11729502908629133,0.2476097149418844,0.0,0.8495939373970032,0.0,-0.6614764332771301,0.0,0.0,0.0,0.0,0.0,0.0,215.28276905394287,39.251633081563305,201.93019104003906,369.72998046875,201.93019104003906,-146.76499938964844,144.71918009123976,6.196440943031849,103.32246398925781,229.29214477539062,144.9298858642578,-10.989547729492188,233.12847012976033,21.643630544196128,170.9515838623047,560.1708984375,232.14794921875,1.3431396484375,0.6285559642526604,0.028092180842706767,0.4057815968990326,0.7900529503822327,0.6280179023742676,-0.051162004470825195,0.1307800035018238,0.34197486299143326,-1.9882230758666992,4.3719162940979,0.11042989790439606,-0.9108204692602158,-0.30812005462180764,9.14822902931898,-84.36226654052734,70.73872375488281,0.0,-3.4851326942443848,-0.005135334227089413,0.15247048324125925,-1.40603768825531,1.178978681564331,0.0,-0.058085545897483826,144.85276950239208,0.9727861168132573,140.58847045898438,149.61489868164062,144.9298858642578,-4.6850128173828125,153.379667072529,21.762680295651872,144.9298858642578,229.29214477539062,144.9298858642578,-42.23728942871094,42.47759836536215,95.86355968127286,0.0,383.6324462890625,0.0,-128.22645568847656,0.9550525870889458,0.15401247886084243,0.0,1.0,1.0,0.1666666865348816
sequences/early_bbf_000010.npz,2017-07-29 15:49:03,1,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,2.9956737962963844,0.5466180459812192,0.01880350522696972,4.131697654724121,0.21807797253131866,-2.834505006670952,2.9956737962963844,0.5466180459812192,0.01880350522696972,4.131697654724121,0.21807797253131866,-2.834505006670952,-0.0031459543907748216,0.162527213527605,-2.2569191455841064,1.4134199619293213,0.0,0.0,-0.08778177540786523,0.6812177464759293,-4.037105083465576,1.7474427223205566,-3.9136195182800293,-4.503854990005493,0.10229628809317368,0.3375583223781312,0.0,1.6119526624679565,1.463728904724121,1.331501767039299,0.0,0.0,0.0,0.0,0.0,0.0,195.48259163961293,29.212798034931,20.55445671081543,271.04730224609375,271.04730224609375,69.11711120605469,139.8923697527189,21.9843734636569,0.0010820330353453755,166.03292846679688,150.90174865722656,5.97186279296875,233.7231736431905,25.394065470080278,160.95240783691406,658.864501953125,214.7747039794922,-17.373245239257812,0.6056299565637288,0.09267114047768076,5.018576757720439e-06,0.6944047808647156,0.6885376572608948,0.0605197548866272,-0.0930751193992868,1.2249538797734196,-7.275848865509033,9.072940826416016,0.917305588722229,0.806875690817833,-4.249726890789947,21.51312061056153,-152.45346069335938,37.87043762207031,37.87043762207031,41.73956227302551,-0.07082878263020158,0.35855201576495327,-2.540891170501709,0.6311739683151245,0.6311739683151245,0.695659376680851,141.7575611194945,12.55390013148977,75.39645385742188,144.9298858642578,80.9068603515625,-63.75224304199219,146.74487230171772,5.543764286813329,144.9298858642578,166.03292846679688,166.03292846679688,17.233917236328125,148.99000236581696,594.0095388884829,0.0,3152.91796875,3152.91796875,3147.5885734558105,0.9601870938622858,0.16729538498347124,0.0,1.0,0.875,-0.125
sequences/early_bbf_000013.npz,2017-07-29 15:55:03,1,0,-450.0,260.096136072799,-900.0,0.0,0.0,900.0,2.5615960130267483,1.293055449306877,-3.354921340942383,7.112652778625488,4.062511444091797,1.0099284648895264,2.581433173099514,1.2529841586221735,0.01880350522696972,7.112652778625488,4.062511444091797,1.0099284648895264,0.0011208976735748535,0.44424868421052105,-4.641330242156982,3.8027994632720947,0.0,0.0,0.005753946224936635,1.5360743176238763,-8.621041297912598,6.768457412719727,3.539581537246704,3.539581537246704,0.6582919859992016,0.7064512928631735,0.0,2.377441883087158,2.2766315937042236,2.2766315937042236,0.011098779626314701,0.021349553898842227,0.0,0.0833333358168602,0.0,0.0,177.078827319214,50.39194061438477,20.55445671081543,301.19158935546875,189.7781982421875,-12.151992797851562,130.13181849571575,44.536514888515185,0.0010820330353453755,513.4655151367188,169.38079833984375,24.450912475585938,254.08425635741105,89.46597968230779,160.95240783691406,941.1510620117188,280.6854553222656,48.537506103515625,0.5436964841837254,0.15142067644316679,5.018576757720439e-06,0.7924096584320068,0.5974356532096863,-0.0305822491645813,-0.5847063730930813,2.061901100082984,-8.3846435546875,9.072940826416016,1.2552727460861206,1.1448428481817245,-2.3248240140139576,58.3152328506787,-411.1553039550781,367.4704284667969,73.6629638671875,73.6629638671875,-0.038747066788701594,0.9719205476069079,-6.852588653564453,6.124507427215576,1.2277159690856934,1.2277159690856934,130.66648214427005,22.57139874788387,75.39645385742188,167.4361114501953,110.0187759399414,-34.911109924316406,231.13775199526026,131.77993187650756,134.9814453125,513.4655151367188,205.69662475585938,60.76673889160156,1437.6837974118605,1900.482137364263,0.0,7688.3056640625,2049.445068359375,2049.445068359375,0.8484474946470821,0.25522426875350174,0.0,1.0,0.75,-0.25
